=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.09 17:39:54 =~=~=~=~=~=~=~=~=~=~=~=


-- TURN Dynamic Systems --
  TM4313 Miniature GPSDO

HV: 1.0.1
SV: 1.0.8
SD: May 14 2023, 23:45:34
SN: 25142891
SC: 100.000000MHz
AF: 19/73

Ph =        27, D =  548850, GL = 0, LOS = 1, ST =        52, AF =  19, RT = 157
Ph =        28, D =  548850, GL = 0, LOS = 1, ST =        53, AF =  19, RT = 158
Ph =        28, D =  548850, GL = 0, LOS = 1, ST =        54, AF =  19, RT = 159
Ph =        28, D =  548850, GL = 0, LOS = 1, ST =        55, AF =  19, RT = 160
Ph =        29, D =  548850, GL = 0, LOS = 1, ST =        56, AF =  19, RT = 161
Ph =        29, D =  548850, GL = 0, LOS = 1, ST =        57, AF =  19, RT = 162
Ph =        29, D =  548850, GL = 0, LOS = 1, ST =        58, AF =  19, RT = 163
Ph =        29, D =  548850, GL = 0, LOS = 1, ST =        59, AF =  19, STB = -2.57500E-9, RT = 164
Ph =        29, D =  548850, GL = 0, LOS = 1, ST =        60, AF =  19, STB = -2.52500E-9, RT = 165
Ph =        30, D =  548850, GL = 0, LOS = 1, ST =        61, AF =  19, STB = -2.42500E-9, RT = 166
Ph =        29, D =  548850, GL = 0, LOS = 1, ST =        62, AF =  19, STB = -2.35000E-9, RT = 167
Ph =        29, D =  548850, GL = 0, LOS = 1, ST =        63, AF =  19, STB = -2.32500E-9, RT = 168
Ph =        31, D =  548850, GL = 0, LOS = 1, ST =        64, AF =  19, STB = -2.25000E-9, RT = 169
Ph =        30, D =  548850, GL = 0, LOS = 1, ST =        65, AF =  19, STB = -2.15000E-9, RT = 170
Ph =        30, D =  548850, GL = 0, LOS = 1, ST =        66, AF =  19, STB = -2.07500E-9, RT = 171
Ph =        32, D =  548850, GL = 0, LOS = 1, ST =        67, AF =  19, STB = -2.05000E-9, RT = 172
Ph =        31, D =  548850, GL = 0, LOS = 1, ST =        68, AF =  19, STB = -1.95000E-9, RT = 173
Ph =        31, D =  548850, GL = 0, LOS = 1, ST =        69, AF =  19, STB = -1.75000E-9, RT = 174
Ph =        32, D =  548850, GL = 0, LOS = 1, ST =        70, AF =  19, STB = -1.72500E-9, RT = 175
Ph =        31, D =  548850, GL = 0, LOS = 1, ST =        71, AF =  19, STB = -1.57500E-9, RT = 176
Ph =        32, D =  548850, GL = 0, LOS = 1, ST =        72, AF =  19, STB = -1.50000E-9, RT = 177
Ph =        33, D =  548850, GL = 0, LOS = 1, ST =        73, AF =  19, STB = -1.40000E-9, RT = 178
